sheet,sample,valid,thickness,width,max_force,max_stress,loading_type,direction,rh,label,mc,mc_mean,mc_std,mc_label,offset_strain,offset_stress
data_2_CL,2_CL-012-165-020,True,13.96,14.15,8240.863,41.71870665303187,compression,L,65,"$f_{c,L}$",0.1087830687830689,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-118,True,13.79,13.99,8443.458,43.76615224486982,compression,L,65,"$f_{c,L}$",0.1092659580388446,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-216,True,13.98,14.06,8434.782,42.912258316595334,compression,L,65,"$f_{c,L}$",0.109229490022173,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-314,True,13.82,13.98,8485.693,43.92098801471607,compression,L,65,"$f_{c,L}$",0.1099440164070727,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-413,True,13.83,14.0,8486.973,43.83314223737217,compression,L,65,"$f_{c,L}$",0.1100967117988395,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-511,True,13.85,14.07,8301.798,42.601833534750185,compression,L,65,"$f_{c,L}$",0.1089469250210616,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-609,True,13.8,14.05,8073.7104,41.64067460931456,compression,L,65,"$f_{c,L}$",0.1088507487800773,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-708_K,True,13.83,14.12,7998.059,40.95696119819992,compression,L,65,"$f_{c,L}$",0.1088470509830057,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-806,True,13.88,13.98,7987.026,41.161241048348195,compression,L,65,"$f_{c,L}$",0.1089609310058186,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-012-165-904,True,13.94,14.0,8495.268,43.529760196761636,compression,L,65,"$f_{c,L}$",0.1092605768704503,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-020,True,14.03,14.01,8625.96,43.8845484057564,compression,L,65,"$f_{c,L}$",0.1008148612456551,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-118,True,14.0,13.87,8775.215,45.19113708929859,compression,L,65,"$f_{c,L}$",0.1013166073345764,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-217,True,14.09,13.87,9186.063,47.004773617741144,compression,L,65,"$f_{c,L}$",0.1014866760168303,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-315,True,14.05,13.94,8864.299,45.25903592927494,compression,L,65,"$f_{c,L}$",0.1022299417301658,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-413,True,14.06,13.86,8885.425,45.59630546472651,compression,L,65,"$f_{c,L}$",0.1023321315908067,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-512,True,14.06,13.86,8589.002,44.07518591729118,compression,L,65,"$f_{c,L}$",0.1013525698827773,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-610,True,14.01,13.83,8591.923,44.343509413532225,compression,L,65,"$f_{c,L}$",0.1025908498214184,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-708,True,14.02,13.85,8294.388,42.715604834764164,compression,L,65,"$f_{c,L}$",0.1025976260106658,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-807,True,14.04,13.93,7988.4687,40.8456031684675,compression,L,65,"$f_{c,L}$",0.1028626175821623,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-101-905,True,14.03,13.85,8385.209,43.15254830417543,compression,L,65,"$f_{c,L}$",0.1025738420545382,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-020,True,14.03,13.85,8854.241,45.566313546783455,compression,L,65,"$f_{c,L}$",0.1056480610720803,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-118,True,14.03,14.03,8316.066,42.24765279979924,compression,L,65,"$f_{c,L}$",0.1055857253685027,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-216,True,13.97,13.92,8482.521,43.62036568508874,compression,L,65,"$f_{c,L}$",0.1057184179785281,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-315,True,13.83,14.02,8730.972,45.02901030755567,compression,L,65,"$f_{c,L}$",0.1059299938980416,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-413,True,13.93,14.09,8493.007,43.27124316706721,compression,L,65,"$f_{c,L}$",0.1058977500556918,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-511,True,13.84,14.01,8688.667,44.810411019379224,compression,L,65,"$f_{c,L}$",0.1045119087554511,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-610,True,13.98,14.0,8485.8955,43.357324238708365,compression,L,65,"$f_{c,L}$",0.1049054076678385,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-708,True,13.95,14.11,8387.474,42.61180839741001,compression,L,65,"$f_{c,L}$",0.1051233816532034,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-806,True,13.87,14.05,8391.706,43.0623250467611,compression,L,65,"$f_{c,L}$",0.1056926729611838,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-013-133-905,True,14.02,14.11,8843.123,44.702379207187064,compression,L,65,"$f_{c,L}$",0.1065925846778502,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-029-166-217_K,True,14.07,13.91,7492.971,38.28536786131987,compression,L,65,"$f_{c,L}$",0.1280085022890779,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-029-166-316_K,True,13.9,13.82,8639.646,44.97520015825256,compression,L,65,"$f_{c,L}$",0.1279124487004105,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CL,2_CL-029-166-414_K,True,13.9,13.78,8798.611,45.93567468231511,compression,L,65,"$f_{c,L}$",0.1274553078790555,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
data_2_CR,2_CR-168-154-011,True,14.08,13.71,1115.1803,5.777034741562231,compression,R,65,"$f_{c,R}$",0.0914486711829077,0.12342517627891003,0.01763025315573397,$\omega = $ 0.12 ± 0.02,,
