sheet,loading,direction,rh
data_2_CL,compression,L,65
data_2_CR,compression,R,65
data_2_CT,compression,T,65
data_2_sLR,shear,LR,65
data_2_sLT,shear,LT,65
data_2_sRL,shear,RL,65
data_2_sRT,shear,TR,65
data_2_sTL,shear,TL,65
data_2_sTR,shear,RT,65
data_2_TL,tension,L,65
data_2_TR,tension,R,65
data_2_TT,tension,T,65
data_3_CL,compression,L,35
data_3_CR,compression,R,35
data_3_CT,compression,T,35
data_3_sLR,shear,LR,35
data_3_sLT,shear,LT,35
data_3_sRL,shear,RL,35
data_3_sRT,shear,TR,35
data_3_sTL,shear,TL,35
data_3_sTR,shear,RT,35
data_3_TL,tension,L,35
data_3_TR,tension,R,35
data_3_TT,tension,T,35
data_4_CL,compression,L,85
data_4_CR,compression,R,85
data_4_CT,compression,T,85
data_4_sLR,shear,LR,85
data_4_sLT,shear,LT,85
data_4_sRL,shear,RL,85
data_4_sRT,shear,TR,85
data_4_sTL,shear,TL,85
data_4_sTR,shear,RT,85
data_4_TL,tension,L,85
data_4_TR,tension,R,85
data_4_TT,tension,T,85
data_5_CL,compression,L,95
data_5_CR,compression,R,95
data_5_CT,compression,T,95
data_5_sLR,shear,LR,95
data_5_sLT,shear,LT,95
data_5_sRL,shear,RL,95
data_5_sRT,shear,TR,95
data_5_sTL,shear,TL,95
data_5_sTR,shear,RT,95
data_5_TL,tension,L,95
data_5_TR,tension,R,95
data_5_TT,tension,T,95
