sample,exp_mass,dry_mass,moisture_content
2_CL-012-165-020,19.9082,17.955,0.1087830687830689
2_CL-012-165-118,19.9324,17.969,0.1092659580388446
2_CL-012-165-216,20.0105,18.04,0.109229490022173
2_CL-012-165-314,20.0245,18.041,0.1099440164070727
2_CL-012-165-413,20.0872,18.095,0.1100967117988395
2_CL-012-165-511,19.7448,17.805,0.1089469250210616
2_CL-012-165-609,19.7697,17.829,0.1088507487800773
2_CL-012-165-708,19.9659,18.006,0.1088470509830057
2_CL-012-165-806,20.0112,18.045,0.1089609310058186
2_CL-012-165-904,20.2673,18.271,0.1092605768704503
2_CL-013-101-020,19.3182,17.549,0.1008148612456551
2_CL-013-101-118,19.49,17.697,0.1013166073345764
2_CL-013-101-217,19.634,17.825,0.1014866760168303
2_CL-013-101-315,19.6726,17.848,0.1022299417301658
2_CL-013-101-413,19.5686,17.752,0.1023321315908067
2_CL-013-101-512,19.5424,17.744,0.1013525698827773
2_CL-013-101-610,19.4486,17.639,0.1025908498214184
2_CL-013-101-708,19.2282,17.439,0.1025976260106658
2_CL-013-101-807,18.9935,17.222,0.1028626175821623
2_CL-013-101-905,19.4483,17.639,0.1025738420545382
2_CL-013-133-020,19.9868,18.077,0.1056480610720803
2_CL-013-133-118,19.9514,18.046,0.1055857253685027
2_CL-013-133-216,19.8775,17.977,0.1057184179785281
2_CL-013-133-315,19.9366,18.027,0.1059299938980416
2_CL-013-133-413,19.8575,17.956,0.1058977500556918
2_CL-013-133-511,19.7553,17.886,0.1045119087554511
2_CL-013-133-610,19.7988,17.919,0.1049054076678385
2_CL-013-133-708,19.974,18.074,0.1051233816532034
2_CL-013-133-806,20.0252,18.111,0.1056926729611838
2_CL-013-133-905,20.7132,18.718,0.1065925846778502
2_CL-029-166-217,20.6967,18.348,0.1280085022890779
2_CL-029-166-316,20.6126,18.275,0.1279124487004105
2_CL-029-166-414,20.434,18.124,0.1274553078790555
2_CR-168-154-011,20.9449,19.19,0.0914486711829077
2_CR-168-154-043,21.1469,,
2_CR-168-154-074,20.9495,19.065,0.0988460529766587
2_CR-168-154-105,21.1776,19.236,0.1009357454772302
2_CR-168-154-137,21.0682,19.104,0.1028161641541039
2_CR-168-154-168,21.1623,19.17,0.1039280125195616
2_CR-168-154-199,20.8365,19.12,0.0897751046025104
2_CR-168-154-231,20.8833,19.125,0.0919372549019607
2_CR-168-154-262,20.8882,19.143,0.0911664838322102
2_CR-168-154-293,22.0247,20.184,0.0911959968291715
2_CR-168-154-325,20.9088,19.124,0.0933277556996444
2_CR-168-154-356,20.7528,18.962,0.0944415146081637
2_CR-168-154-387,20.6715,18.885,0.0945988880063542
2_CR-168-154-419,20.6293,18.84,0.0949734607218684
2_CR-168-154-450,20.513,18.956,0.0821375817683056
2_CR-168-154-481,20.6506,18.864,0.0947094995759117
2_CR-168-154-513,20.5605,18.815,0.0927717246877491
2_CR-168-154-544,20.7224,18.981,0.0917443759549022
2_CR-168-154-575,20.7074,18.941,0.0932580117206061
2_CR-168-154-607,22.1714,20.263,0.0941815131026993
2_CR-168-154-638,22.7448,20.778,0.094657811146405
2_CR-168-154-669,21.055,19.308,0.0904806297907603
2_CR-168-154-701,20.8152,19.066,0.091744466589741
2_CR-168-154-732,20.7867,19.048,0.091279924401512
2_CR-168-154-763,20.6877,18.944,0.0920449746621621
2_CR-168-154-795,20.8468,19.096,0.0916841223292837
2_CR-168-154-826,21.9173,,
2_CR-168-154-857,20.7966,19.074,0.090311418685121
2_CR-168-154-889,20.743,18.99,0.0923117430226435
2_CR-168-154-920,20.7658,19.008,0.0924768518518518
