,,cam1,cam1,cam2,cam2
,,x,y,x,y
sheet,sample,,,,
data_2_CL,2_CL-012-165-020,R,L,T,L
data_2_CL,2_CL-012-165-118,R,L,T,L
data_2_CL,2_CL-012-165-216,T,L,R,L
data_2_CL,2_CL-012-165-314,R,L,T,L
data_2_CL,2_CL-012-165-413,R,L,T,L
data_2_CL,2_CL-012-165-511,R,L,T,L
data_2_CL,2_CL-012-165-609,R,L,T,L
data_2_CL,2_CL-012-165-708_K,R,L,T,L
data_2_CL,2_CL-012-165-806,R,L,T,L
data_2_CL,2_CL-012-165-904,R,L,T,L
data_2_CL,2_CL-013-101-020,R,L,T,L
data_2_CL,2_CL-013-101-118,R,L,T,L
data_2_CL,2_CL-013-101-217,R,L,T,L
data_2_CL,2_CL-013-101-315,R,L,T,L
data_2_CL,2_CL-013-101-413,R,L,T,L
data_2_CL,2_CL-013-101-512,R,L,T,L
data_2_CL,2_CL-013-101-610,R,L,T,L
data_2_CL,2_CL-013-101-708,R,L,T,L
data_2_CL,2_CL-013-101-807,R,L,T,L
data_2_CL,2_CL-013-101-905,R,L,T,L
data_2_CL,2_CL-013-133-020,R,L,T,L
data_2_CL,2_CL-013-133-118,R,L,T,L
data_2_CL,2_CL-013-133-216,R,L,T,L
data_2_CL,2_CL-013-133-315,R,L,T,L
data_2_CL,2_CL-013-133-413,R,L,T,L
data_2_CL,2_CL-013-133-511,R,L,T,L
data_2_CL,2_CL-013-133-610,R,L,T,L
data_2_CL,2_CL-013-133-708,R,L,T,L
data_2_CL,2_CL-013-133-806,R,L,T,L
data_2_CL,2_CL-013-133-905,R,L,T,L
data_2_CR,2_CR-168-154-011,T,R,L,R
data_2_CR,2_CR-168-154-043,T,R,L,R
data_2_CR,2_CR-168-154-043_2,T,R,L,R
data_2_CR,2_CR-168-154-074,T,R,L,R
data_2_CR,2_CR-168-154-105,T,R,L,R
data_2_CR,2_CR-168-154-137,T,R,L,R
data_2_CR,2_CR-168-154-168,T,R,L,R
data_2_CR,2_CR-168-154-199,T,R,L,R
data_2_CR,2_CR-168-154-231,T,R,L,R
data_2_CR,2_CR-168-154-262,T,R,L,R
data_2_CR,2_CR-168-154-293,T,R,L,R
data_2_CR,2_CR-168-154-325,T,R,L,R
data_2_CR,2_CR-168-154-356,T,R,L,R
data_2_CR,2_CR-168-154-387,T,R,L,R
data_2_CR,2_CR-168-154-419,T,R,L,R
data_2_CR,2_CR-168-154-450,T,R,L,R
data_2_CR,2_CR-168-154-481,T,R,L,R
data_2_CR,2_CR-168-154-513,T,R,L,R
data_2_CR,2_CR-168-154-544,T,R,L,R
data_2_CR,2_CR-168-154-575,T,R,L,R
data_2_CR,2_CR-168-154-575_K_2,T,R,L,R
data_2_CR,2_CR-168-154-607,T,R,L,R
data_2_CR,2_CR-168-154-607_K_2,T,R,L,R
data_2_CR,2_CR-168-154-638_K,T,R,L,R
data_2_CR,2_CR-168-154-669,T,R,L,R
data_2_CR,2_CR-168-154-701,T,R,L,R
data_2_CR,2_CR-168-154-732,T,R,L,R
data_2_CR,2_CR-168-154-763,T,R,L,R
data_2_CR,2_CR-168-154-795,T,R,L,R
data_2_CR,2_CR-168-154-857,T,R,L,R
data_2_CR,2_CR-168-154-889,T,R,L,R
data_2_CR,2_CR-168-154-920,T,R,L,R
data_2_CR,2_CR-168-154-951,T,R,L,R
data_2_CR,2_CR-168-154-983,T,R,L,R
data_2_CT,2_CT-226-174-055,R,T,L,T
data_2_CT,2_CT-226-174-055-2,R,T,L,T
data_2_CT,2_CT-226-174-087,R,T,L,T
data_2_CT,2_CT-226-174-118,R,T,L,T
data_2_CT,2_CT-226-174-149,R,T,L,T
data_2_CT,2_CT-226-174-181,R,T,L,T
data_2_CT,2_CT-226-174-212,R,T,L,T
data_2_CT,2_CT-226-174-243,R,T,L,T
data_2_CT,2_CT-226-174-275,R,T,L,T
