constant,iteration,master_R2,master_delta_R2,time_shift_R2,time_shift_delta_R2,mc_ref,ln_a_ref,elements,Test
E_avgLL,0,0.7859037179931407,1.0,0.09165091278384796,1.0,12.5,-0.9567224759744756,3,Failed
E_avgLL,1,0.7877458417676231,0.0023384747678880775,0.09179279725009493,0.0015457036989557453,12.5,-0.012881631518089352,3,Failed
E_avgLL,2,0.7877458417826291,1.904928677437475e-11,0.0917921785058936,-6.74070723007994e-06,12.5,6.480674525825066e-06,3,Passed
E_avgRL,0,0.8460878091388547,1.0,-0.1321776776837298,1.0,12.5,-1.0380582984840063,3,Failed
E_avgRL,1,0.8460878091097395,-3.4411636050544996e-11,-0.132177786739738,8.250706182477381e-07,12.5,-3.693022048071627e-06,3,Passed
E_avgRR,0,0.9848815170285903,1.0,0.6878847812166535,1.0,12.5,-4.081542223529644,5,Failed
E_avgRR,1,0.9848815169006747,-1.2987914265063295e-10,0.6878854043155038,9.0581780974731e-07,12.5,2.1373313379459413e-06,5,Passed
E_avgRT,0,0.9589435525198676,1.0,0.4903564537509335,1.0,12.5,-3.6080205820080358,5,Failed
E_avgRT,1,0.9585558397707336,-0.0004044759137107812,0.4915579533699932,0.0024442684953473316,12.5,-0.0020228733535285204,4,Failed
E_avgRT,2,0.9589465532161755,0.0004074402730074462,0.49013045544206957,-0.0029124856700367767,12.5,0.001692806058005085,5,Failed
E_avgRT,3,0.9589465500405375,-3.3115901763990695e-09,0.4901306937265616,4.861652107829875e-07,12.5,2.1318018867885757e-07,5,Passed
E_avgTL,0,0.9871797033678918,1.0,0.4777736104863026,1.0,12.5,-4.137916765134625,5,Failed
E_avgTL,1,0.987014540688889,-0.0001673356087414064,0.48193444825580967,0.008633617672622728,12.5,-0.006612105829966719,4,Failed
E_avgTL,2,0.9870145398487385,-8.512037774544868e-10,0.48196100070132897,5.509251885663603e-05,12.5,-7.977978757358131e-05,4,Passed
E_avgTT,0,0.974010777265991,1.0,0.5871578212279545,1.0,12.5,-1.8944347417569076,4,Failed
E_avgTT,1,0.9744871279603784,0.0004888219461497275,0.5837325386205702,-0.005867897334417294,12.5,-0.01430237746907062,4,Failed
E_avgTT,2,0.9744871279954017,3.5940256749697545e-11,0.5837333502580709,1.3904250980435206e-06,12.5,3.0007736008322294e-06,4,Passed
E_cLL,0,0.784469324928927,1.0,0.8290831302201054,1.0,12.5,-0.7412941574982717,3,Failed
E_cLL,1,0.7844693250446706,1.475438658999773e-10,0.82908620243528,3.7055437246081067e-06,12.5,-4.5211605792516707e-07,3,Passed
E_cRL,0,0.812786158864979,1.0,0.48676714319467096,1.0,12.5,-0.24415225659587594,3,Failed
E_cRL,1,0.8127861573017532,-1.9232928083325674e-09,0.4867422272408056,-5.118921776434992e-05,12.5,2.8470737453052675e-05,3,Passed
E_cRR,0,0.9775752064310635,1.0,0.701094639941092,1.0,12.5,-4.359335009803772,3,Failed
E_cRR,1,0.9784618272233083,0.0009061373347193711,0.7077436018177199,0.0093945912892058,12.5,-0.0011337610266849707,3,Failed
E_cRR,2,0.9784618272124652,-1.1081785605469062e-11,0.7077432809915742,-4.533086420834673e-07,12.5,5.522716301289976e-08,3,Passed
E_cRT,0,0.9769970227077099,1.0,0.7447938569583761,1.0,12.5,-1.7749353535753332,3,Failed
E_cRT,1,0.9773979315279857,0.0004101797306333773,0.7489397619433158,0.005535698858052492,12.5,-0.00596990522300226,3,Failed
E_cRT,2,0.977563701800815,0.0001695749059870939,0.7493134172811617,0.000498663615555867,12.5,-0.0012501849514622507,3,Failed
E_cRT,3,0.9775678235594488,4.216340323925719e-06,0.7493002120852879,-1.7623371328214356e-05,12.5,-0.00015182728324516365,3,Passed
E_cTL,0,0.987549683074628,1.0,0.7084928310770122,1.0,12.5,-2.0131750166386144,3,Failed
E_cTL,1,0.9875496830368633,-3.824079023113298e-11,0.7085161857085842,3.296273542238909e-05,12.5,-0.00019002270483894912,3,Passed
E_cTT,0,0.958360105590445,1.0,0.449894108022476,1.0,12.5,3.0348989736684686,4,Failed
