constant,element,tau,Std_tau,g,Std_g,R2
E_avgLL,0,0.08688243996053066,0.6544290659263353,0.014782426509344804,0.004502301465418755,0.7877458417826291
E_avgLL,1,937782.7638604051,181690.07393379443,0.10793573070878804,0.00983576695802917,0.7877458417826291
E_avgLL,2,21116.068359330173,4955.017423806584,0.07485154474578826,0.0063092283382313145,0.7877458417826291
E_avgLL,3,19754751.522328716,5072622.745505185,0.19668740076030677,0.016252989436314914,0.7877458417826291
E_avgRL,0,34962.650744717364,8935.00660845718,0.8832770849937752,0.09746850070284671,0.8460878091097395
E_avgRL,1,1015655.2274611889,217387.66771174717,1.50392353227149,0.1358033131650738,0.8460878091097395
E_avgRL,2,19531762.20279327,2976016.676715465,2.6006821057919502,0.13561525975445674,0.8460878091097395
E_avgRR,0,532.8518987300484,208.04017698238727,0.23589482712969012,0.009024245402249173,0.9848815169006747
E_avgRR,1,187019.07844327067,29182.943930103906,0.27459665088188556,0.026082497757570204,0.9848815169006747
E_avgRR,2,1767558.2283811313,251063.44592184076,0.4244491914717492,0.025304656099062697,0.9848815169006747
E_avgRR,3,27149441.71282307,1781766.6318654215,1.406414702877021,0.0450206405060695,0.9848815169006747
E_avgRR,4,880370839.5206839,585153437.6667731,2.265243283750614,1.0455935196842574,0.9848815169006747
E_avgRT,0,4742.164473082443,3005.4465443441595,0.11577154124564148,0.024345771705456286,0.9589465500405375
E_avgRT,1,211147.15411506162,62307.24822684514,0.39629057496889963,0.07115584469720307,0.9589465500405375
E_avgRT,2,1895757.1367731679,1273993.4697071498,0.25713131962755975,0.07587406486728028,0.9589465500405375
E_avgRT,3,444898967.8863089,1018752548.3809111,2.3319992115380668,3.678846966068128,0.9589465500405375
E_avgRT,4,20020577.1668489,4254233.647118133,1.4930533539401547,0.19395726983532993,0.9589465500405375
E_avgTL,0,140188.5399576463,17565.002710504803,0.3134281986460059,0.015911753349368275,0.9870145398487385
E_avgTL,1,8714011.564129159,1778670.6596492792,0.49003841846771423,0.058631940560829536,0.9870145398487385
E_avgTL,2,515067824.7331314,70290792.5839462,3.999999891197321,2.8301339436946114,0.9870145398487385
E_avgTL,3,159580159.3065093,68040377.71663268,1.307305753421777,0.7548122390440626,0.9870145398487385
E_avgTT,0,7326.801412276483,2822.361295222956,0.2023376027426489,0.03501960653078424,0.9744871279954017
E_avgTT,1,327873.2124988411,35324.50523948975,0.5452508548848751,0.026133928853356143,0.9744871279954017
E_avgTT,2,42.35722200351241,45.364199632996005,0.28124367501954395,0.033986608696561005,0.9744871279954017
E_avgTT,3,4947600.582253573,516979.6709807762,0.8223235022746784,0.04142629462353132,0.9744871279954017
E_avgTT,4,56903825.465380125,4049258.4388959976,1.7107142233839712,0.03826590279356783,0.9744871279954017
E_cLL,0,10959.682395820651,3279.2087251952917,0.1042249291678563,0.01510952937470595,0.7844693250446706
E_cLL,1,177867.37498838973,69589.85387505856,0.09907278111942563,0.01626764891804237,0.7844693250446706
E_cLL,2,3061388.150680973,862293.8031126914,0.1782782800638163,0.014966877199809525,0.7844693250446706
E_cRL,0,11302.398541253493,4621.137330880782,1.163365941334853,0.2531681168426843,0.8127861573017532
E_cRL,1,4409360.238211245,817727.0040363888,2.2856677078956067,0.1569224295774759,0.8127861573017532
E_cRL,2,158722.1091512755,55821.73136339082,1.517798017081462,0.2348465321812109,0.8127861573017532
E_cRR,0,1408.0045956744282,507.1426444702902,0.214420707071163,0.01550720776975174,0.9784618272124652
E_cRR,1,88035.12466530224,22869.483255573283,0.2327036944459564,0.03835967296850648,0.9784618272124652
E_cRR,2,12418628.44326117,524026.1904296616,1.8936786458187063,0.022575691278202463,0.9784618272124652
E_cRR,3,612269.9631392042,105036.4158857738,0.38571992046901826,0.034543721673674324,0.9784618272124652
E_cRT,0,6489.231392211028,8399.172288097432,0.08001721684195284,0.03065819430671551,0.9775678235594488
E_cRT,1,255347.77187617173,40116.361335409994,0.47627540291408565,0.031372870970773827,0.9775678235594488
E_cRT,2,674453799.7013747,1475530330.6406343,1.8448430391923543,2.8068194872080716,0.9775678235594488
E_cRT,3,27416237.137542475,2664491.4752546945,1.8754074126420754,0.15785465847927257,0.9775678235594488
E_cTL,0,147150.50945389518,22741.584769254874,0.44579439707910495,0.022383431203267766,0.9875496830368633
E_cTL,1,24607271.61780923,4862489.613272603,0.7725670891849337,0.08335883191164394,0.9875496830368633
E_cTL,2,341363928.5394126,12481890.228782307,4.8528924062337975,0.07922745509757176,0.9875496830368633
E_cTT,0,1345.8562438809806,479.8481643085979,0.4127840715506961,0.02756036400724219,0.9583601056979612
E_cTT,1,134678.78985065036,20300.434096904257,0.5286077655472954,0.03975501308766515,0.9583601056979612
E_cTT,2,1732503.5030471522,261679.56014039752,0.9930431845171317,0.08293284661126094,0.9583601056979612
E_cTT,3,57496379.604190156,125857276.21973471,2.4878711659420536,2.66967849403432,0.9583601056979612
E_tLL,0,23261.196591790103,3654.00808735063,0.08950950743478625,0.0032093046110436467,0.754752476788868
E_tLL,1,4396922.359624277,503182.7208670295,0.13018259009206457,0.005364066786604033,0.754752476788868
E_tRL,0,437026.303388392,74231.01835632864,1.4129137652285537,0.14303049118557046,0.704539730493816
E_tRL,1,13307283.164499769,7066953.930041391,1.9852006894198626,0.45428358634351335,0.704539730493816
E_tRR,0,85.00044384333879,86.72062639759697,0.272430567923605,0.010100360653692405,0.9905323756375981
E_tRR,1,1046471.506305558,198847.991658328,0.3374416382626093,0.03869785548128482,0.9905323756375981
E_tRR,2,152189612.55605832,19728729.57135282,1.2437774484131139,0.06801946550243342,0.9905323756375981
E_tRR,3,15132458.24499915,4003912.406239629,0.4724807646615805,0.05857676210065989,0.9905323756375981
E_tRR,4,4397071400.882155,10680458353.63261,2.3156016314962464,1.2684833160355204,0.9905323756375981
E_tRT,0,4055.2129383319902,2606.234384218685,0.14093957952774394,0.025438575302474266,0.9480746666758674
E_tRT,1,353047.9964200538,97246.70093305797,0.5285214607037445,0.09536883289189203,0.9480746666758674
E_tRT,2,3216991.620683568,1991252.6495315474,0.4365783647763457,0.1307419979132104,0.9480746666758674
E_tRT,3,25617282.77424966,4907545.684303936,1.7019536528111288,0.1188539019020126,0.9480746666758674
