sample,component,tau,g,eps0,stress,C,C_inv,delta,fit_deps,elastic_source,R2
1_cLx-238-144-023,exx,[   7200   72000  720000 7200000],[1.00000000e-06 1.00000000e-06 3.12492131e-01 1.02267447e+00],0.00070138157008,-15.772908434682952,-22488.341735132683,-4.446748505416644e-05,-9.982215740999894e-07,False,loading,0.8415538942445793
1_cLx-238-144-023,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 1.80305106e-01 6.37222199e-02 1.48473888e-01],-0.0010449012260265,-15.772908434682952,15095.119080933044,6.62465790854953e-05,-5.449263286699986e-06,False,loading,0.8367586680501486
1_cLx-238-144-110,exx,[   7200   72000  720000 7200000],[1.00000000e-06 1.00000000e-06 6.97924780e-02 8.74173434e-01],0.0008479567678552001,-15.825935238877202,-18663.61097501104,-5.358019953046136e-05,2.975857773299985e-06,False,unloading,0.7346982627243663
1_cLx-238-144-110,eyy,[   7200   72000  720000 7200000],[1.00000000e-06 1.28850893e-01 1.40412600e-01 3.06121006e-01],-0.0009471715327455001,-15.825935238877202,16708.6263593709,5.9849324444265754e-05,2.722164870600061e-06,False,unloading,0.8888057475105788
1_cLx-238-144-198,exx,[   7200   72000  720000 7200000],[1.00000000e-06 1.64361406e-01 4.57048408e-01 1.26614962e+00],0.000822059437816,-15.566599510572791,-18936.09974472069,-5.28091852853065e-05,2.467326776479993e-05,False,loading,0.9582048473370779
1_cLx-238-144-547,eyy,[   7200   72000  720000 7200000],[1.67146255e-01 1.19709748e-02 1.76492301e-01 1.55201784e-04],-0.0009454175426782,-15.416593019619574,16306.650050037262,6.132467410114777e-05,-1.1805399165400101e-05,False,unloading,0.7605003887773871
1_cR-089-111-448,exx,[   7200   72000  720000 7200000],[8.42729285e-01 1.00000000e-06 1.62721030e+00 1.00000000e-06],6.09558263804e-05,-1.8145527127563057,-29768.322742971864,-3.359275591823844e-05,-4.211100243499995e-06,False,loading,0.26123392167016024
1_cR-089-111-448,eyy,[   7200   72000  720000 7200000],[0.2386659  0.00281298 0.298215   0.80989844],-0.0027321303562429003,-1.8145527127563057,664.1530513396128,0.0015056770393254623,-3.1989644528000044e-05,False,unloading,0.9596252387841944
1_cR-089-111-540,exx,[   7200   72000  720000 7200000],[2.68606649e+00 9.04704815e-01 1.39850569e-01 1.00000000e-06],8.022211887589999e-05,-1.8996960486322192,-23680.452165206003,-4.222892337627375e-05,0.0002412743267081,False,loading,0.03725963042687008
1_cR-089-111-540,eyy,[   7200   72000  720000 7200000],[0.08857993 0.34631228 0.6553947  1.27994611],-0.0031545373734733,-1.8996960486322192,602.2106647418036,0.0016605484733963447,-0.00012752187977260005,False,loading,0.9900626195391748
1_cR-089-111-558,eyy,[   7200   72000  720000 7200000],[0.22982197 0.56645082 0.47315189 0.71013276],-0.004087533957066,-1.798800799467022,440.0699341854978,0.00227236609983558,-0.0008691988724202999,False,loading,0.9841150696971251
1_cR-089-111-577,eyy,[   7200   72000  720000 7200000],[0.24731579 0.27777116 0.15391397 0.74873656],-0.0028273035272255,-1.8169705045121436,642.6513768386162,0.0015560536179340075,-0.00048322729253409994,False,loading,0.9697171748667484
1_cR-089-111-595,eyy,[   7200   72000  720000 7200000],[5.70988015e-01 1.00000000e-06 4.45932395e-01 1.30512199e+00],-0.0016376875359604,-1.7835671342685369,1089.0765760286424,0.0009182090791508312,-3.751170702329999e-05,False,loading,0.940008604920839
1_cT-037-178-455,exx,[   7200   72000  720000 7200000],[4.67630932e-04 1.00000000e-06 5.81370381e-01 6.16609725e-05],0.0007906702090030999,-1.7188933417024768,-2173.9700346996856,-0.0004599879409736855,9.257060556709998e-05,False,unloading,0.6708127860214051
1_cT-037-178-455,eyy,[   7200   72000  720000 7200000],[0.60114551 0.10555755 0.17141902 0.8147231 ],-0.0029830901252584007,-1.7188933417024768,576.2123400658513,0.0017354713366355826,-0.0009236311625642002,False,unloading,0.9746151309158847
1_cT-037-178-549,exx,[   7200   72000  720000 7200000],[1.00000000e-06 2.99959630e-02 2.53489699e-01 4.23674647e-01],0.0007191639427160001,-1.7049672336587351,-2370.762954577148,-0.00042180514001593264,-4.190945201110012e-05,False,unloading,0.49195429863232876
1_cT-037-178-549,eyy,[   7200   72000  720000 7200000],[0.31893717 0.60063859 0.60350138 0.68954206],-0.0034084057160521,-1.7049672336587351,500.2242619266495,0.0019991033544603143,-0.0009502722653160003,False,unloading,0.9816281000555549
1_cT-037-178-575,exx,[   7200   72000  720000 7200000],[1.48771341e-01 8.89192076e-02 1.15689032e+00 1.00000000e-06],0.0008390626905810139,-1.899994129231623,-2264.4245186446806,-0.00044161330694234273,0.00016438290752110007,False,scleronomic,0.86621932147969
1_cT-037-178-575,eyy,[   7200   72000  720000 7200000],[0.35194769 0.01195977 0.84043778 1.43296489],-0.002940659143419,-1.899994129231623,646.111649316339,0.001547720120908075,-0.0007814937835024,False,unloading,0.9886289545886189
1_sLR-119-150-091,exy,[   7200   72000  720000 7200000],[1.53037357e-01 1.23731166e-01 2.55353491e-06 1.82136732e-01],0.0015234357734616,1.8489915334575528,1213.6983820828984,0.0008239279336302993,4.5441112238200085e-05,False,loading,0.8616923991670355
1_sLR-122-150-428,exy,[   7200   72000  720000 7200000],[3.04685437e-01 5.29160930e-02 1.00000000e-06 9.38650359e-01],0.0015091223448291,1.876970300315248,1243.7495917720341,0.0008040203644008827,0.00037213256928059994,False,loading,0.9580414703280395
1_sLR-122-150-576,exy,[   7200   72000  720000 7200000],[3.05193560e-01 2.60426598e-02 2.28611044e-01 1.17843961e-06],0.0015882113622156,1.862553818544039,1172.7367420075143,0.0008527062930493505,0.00041610860089210007,False,loading,0.8784242740779882
1_sLR-122-150-872,exy,[   7200   72000  720000 7200000],[1.51847044e-01 1.00000000e-06 3.20188238e-02 1.55465607e-01],0.0015358805506518,1.884835509051376,1227.2018864041775,0.0008148618504247077,0.00019561356646799997,False,loading,0.7842139390812811
1_sLT-012-153-247,exy,[   7200   72000  720000 7200000],[2.45388907e-01 2.91089347e-02 1.04690000e-06 3.77684066e-01],0.0009069249072305001,1.581098904699878,1743.3625343118213,0.0005736041588129816,0.00022093413389590011,False,unloading,0.4271704530684862
