sample,component,times,KV_model,strain_corrected,strain_experiment
1_cLx-238-144-023,exx,2024-02-26 16:45:31.000,1.0,1.0,1.0
1_cLx-238-144-023,exx,2024-02-26 16:46:02.000,1.000017862131678,0.9985767781523172,0.9985767781523172
1_cLx-238-144-023,exx,2024-02-26 16:46:33.500,1.000036011730382,0.9746885992085947,0.9746885992085947
1_cLx-238-144-023,exx,2024-02-26 17:11:07.500,1.0008845874078558,1.1931485289564256,1.1931485289564256
1_cLx-238-144-023,exx,2024-02-26 17:38:50.500,1.0018403083418743,1.1631797454581614,1.1631797454581614
1_cLx-238-144-023,exx,2024-02-26 18:38:50.500,1.0039032401124854,1.105824535184228,1.105824535184228
1_cLx-238-144-023,exx,2024-02-26 19:38:50.500,1.0059580760181543,1.0766160448877644,1.0766160448877644
1_cLx-238-144-023,exx,2024-02-26 20:38:50.500,1.008004893956371,1.0563502333894972,1.0563502333894972
1_cLx-238-144-023,exx,2024-02-26 21:38:51.000,1.0100440388826406,0.9970508888651521,0.9970508888651521
1_cLx-238-144-023,exx,2024-02-26 22:38:50.500,1.0120747157325827,1.0071333548268588,1.0071333548268588
1_cLx-238-144-023,exx,2024-02-26 23:38:50.500,1.0140978193439811,1.0023554048087,1.0023554048087
1_cLx-238-144-023,exx,2024-02-27 00:38:50.500,1.016113110429727,1.0203374931318385,1.0203374931318385
1_cLx-238-144-023,exx,2024-02-27 01:38:50.500,1.0181206300548067,1.0079450051899204,1.0079450051899204
1_cLx-238-144-023,exx,2024-02-27 02:38:51.000,1.0201206950436776,1.0635146082896345,1.0635146082896345
1_cLx-238-144-023,exx,2024-02-27 03:38:51.000,1.0221127885595898,1.0188052120727888,1.0188052120727888
1_cLx-238-144-023,exx,2024-02-27 04:38:51.000,1.0240972268881305,1.0485532077149045,1.0485532077149045
1_cLx-238-144-023,exx,2024-02-27 05:38:51.000,1.0260740475605004,1.0531482747575591,1.0531482747575591
1_cLx-238-144-023,exx,2024-02-27 06:38:51.000,1.0280432877496233,0.9764912524789905,0.9764912524789905
1_cLx-238-144-023,exx,2024-02-27 07:38:33.500,1.029995466500312,0.9583631334000278,0.9583631334000278
1_cLx-238-144-023,exx,2024-02-27 08:38:51.000,1.0319591739615672,0.9929384298976731,0.9929384298976731
1_cLx-238-144-023,exx,2024-02-27 10:38:53.500,1.035846521904461,1.055658791989569,1.055658791989569
1_cLx-238-144-023,exx,2024-02-27 12:38:51.000,1.0397015880050686,1.1529791374041403,1.1529791374041403
1_cLx-238-144-023,exx,2024-02-27 14:38:51.000,1.0435286905408439,1.1497584313272151,1.1497584313272151
1_cLx-238-144-023,exx,2024-02-27 16:38:51.000,1.0473267682626144,1.1343479727318073,1.1343479727318073
1_cLx-238-144-023,exx,2024-02-27 18:38:51.000,1.051096101215518,1.1961352693503327,1.1961352693503327
1_cLx-238-144-023,exx,2024-02-27 20:38:51.000,1.0548369666325392,1.1407160000158583,1.1407160000158583
1_cLx-238-144-023,exx,2024-02-27 22:38:51.000,1.0585496389698335,1.091102546647771,1.091102546647771
1_cLx-238-144-023,exx,2024-02-28 00:38:51.000,1.062234389938441,1.0667021197474063,1.0667021197474063
1_cLx-238-144-023,exx,2024-02-28 02:38:51.500,1.0658917415454965,1.0327615714504432,1.0327615714504432
1_cLx-238-144-023,exx,2024-02-28 04:38:51.500,1.0695214521861944,1.0161048339727712,1.0161048339727712
1_cLx-238-144-023,exx,2024-02-28 06:38:51.500,1.0731240404352682,1.053428564028601,1.053428564028601
1_cLx-238-144-023,exx,2024-02-28 09:38:51.500,1.078477638600781,1.0865718414358596,1.0865718414358596
1_cLx-238-144-023,exx,2024-02-28 15:55:40.000,1.0894928909305128,1.139081326217302,1.139081326217302
