Start Time: 14-12-2022 11:14:01
End Time: 14-01-2023 15:34:01
Data Number: 4491
Temperature (ºC) Max: 20.2 30-12-2022 11:14:01	 Min: 17.7 14-12-2022 13:54:01	 Avg: 19.34
Relative Humidity (%) Max: 58 14-12-2022 22:14:01	 Min: 6.7 02-01-2023 11:44:01	 Avg: 8.73
Dew Point (ºC) Max: 9.81 14-12-2022 22:14:01	 Min: -17.84 10-01-2023 03:14:01	 Avg: -15.64
""
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC)
"14-12-2022 11:14:01","19.9","48.7","8.79"
"14-12-2022 11:24:01","19.6","49.1","8.63"
"14-12-2022 11:34:01","19.4","48.8","8.36"
"14-12-2022 11:44:01","19.4","47.5","7.96"
"14-12-2022 11:54:01","19.5","45.8","7.52"
"14-12-2022 12:04:01","19.7","49.8","8.93"
"14-12-2022 12:14:01","19.7","49.8","8.93"
"14-12-2022 12:24:01","19.9","46.2","8.01"
"14-12-2022 12:34:01","19.6","44.9","7.32"
"14-12-2022 12:44:01","19.4","45.5","7.33"
"14-12-2022 12:54:01","19.1","46.1","7.25"
"14-12-2022 13:04:01","18.7","46.7","7.08"
"14-12-2022 13:14:01","18.5","47.1","7.02"
"14-12-2022 13:24:01","18.2","47.5","6.87"
"14-12-2022 13:34:01","18.0","47.8","6.78"
"14-12-2022 13:44:01","17.8","48.0","6.65"
"14-12-2022 13:54:01","17.7","49.4","6.98"
"14-12-2022 14:04:01","18.1","47.2","6.68"
"14-12-2022 14:14:01","18.2","46.9","6.68"
"14-12-2022 14:24:01","18.2","47.7","6.93"
"14-12-2022 14:34:01","18.2","47.7","6.93"
"14-12-2022 14:44:01","18.2","47.7","6.93"
"14-12-2022 14:54:01","18.2","47.1","6.74"
"14-12-2022 15:04:01","18.2","47.7","6.93"
"14-12-2022 15:14:01","18.2","53.7","8.67"
"14-12-2022 15:24:01","18.2","54.8","8.96"
"14-12-2022 15:34:01","18.2","52.1","8.22"
"14-12-2022 15:44:01","18.2","50.8","7.85"
"14-12-2022 15:54:01","18.2","49.9","7.59"
"14-12-2022 16:04:01","18.2","51.3","7.99"
"14-12-2022 16:14:01","18.1","50.7","7.73"
"14-12-2022 16:24:01","18.1","51.7","8.01"
"14-12-2022 16:34:01","18.0","46.0","6.22"
"14-12-2022 16:44:01","18.0","50.3","7.52"
"14-12-2022 16:54:01","18.0","50.4","7.55"
"14-12-2022 17:04:01","18.0","51.3","7.81"
"14-12-2022 17:14:01","18.1","50.9","7.78"
"14-12-2022 17:24:01","18.1","50.7","7.73"
"14-12-2022 17:34:01","18.1","55.4","9.03"
"14-12-2022 17:44:01","18.1","57.8","9.66"
"14-12-2022 17:54:01","18.0","55.5","8.97"
"14-12-2022 18:04:01","18.0","53.8","8.51"
"14-12-2022 18:14:01","18.0","53.2","8.34"
"14-12-2022 18:24:01","18.0","52.8","8.23"
"14-12-2022 18:34:01","18.1","52.5","8.24"
"14-12-2022 18:44:01","18.1","51.3","7.90"
"14-12-2022 18:54:01","18.0","54.1","8.59"
"14-12-2022 19:04:01","18.0","53.0","8.29"
"14-12-2022 19:14:01","18.0","52.7","8.20"
"14-12-2022 19:24:01","18.0","51.9","7.98"
"14-12-2022 19:34:01","18.0","51.9","7.98"
"14-12-2022 19:44:01","18.0","51.7","7.92"
"14-12-2022 19:54:01","18.0","53.3","8.37"
"14-12-2022 20:04:01","18.0","53.1","8.31"
"14-12-2022 20:14:01","18.0","52.5","8.15"
"14-12-2022 20:24:01","18.0","51.9","7.98"
"14-12-2022 20:34:01","18.0","51.7","7.92"
"14-12-2022 20:44:01","18.0","50.8","7.66"
"14-12-2022 20:54:01","18.0","53.1","8.31"
"14-12-2022 21:04:01","18.0","52.5","8.15"
"14-12-2022 21:14:01","18.1","52.3","8.18"
"14-12-2022 21:24:01","18.1","51.6","7.98"
"14-12-2022 21:34:01","18.1","51.7","8.01"
"14-12-2022 21:44:01","18.2","51.3","7.99"
"14-12-2022 21:54:01","18.2","52.0","8.19"
"14-12-2022 22:04:01","18.2","52.2","8.25"
"14-12-2022 22:14:01","18.2","58.0","9.81"
"14-12-2022 22:24:01","18.2","56.9","9.52"
"14-12-2022 22:34:01","18.4","56.4","9.58"
"14-12-2022 22:44:01","18.6","48.1","7.42"
"14-12-2022 22:54:01","18.4","44.2","6.00"
"14-12-2022 23:04:01","18.2","34.5","2.30"
"14-12-2022 23:14:01","18.4","31.9","1.38"
"14-12-2022 23:24:01","18.6","30.5","0.94"
"14-12-2022 23:34:01","18.8","29.4","0.60"
"14-12-2022 23:44:01","18.9","28.6","0.31"
"14-12-2022 23:54:01","19.0","28.0","0.10"
"15-12-2022 00:04:01","19.0","27.4","-0.20"
"15-12-2022 00:14:01","19.1","26.9","-0.36"
"15-12-2022 00:24:01","19.1","26.5","-0.57"
"15-12-2022 00:34:01","19.1","26.1","-0.78"
"15-12-2022 00:44:01","19.0","25.8","-1.02"
