Start Time: 30-09-2024 12:07:40
End Time: 25-10-2024 13:06:30
Data Number: 3606
Temperature (ºC) Max: 31.2 02-10-2024 08:56:30	 Min: 22.3 04-10-2024 06:26:30	 Avg: 22.71
Relative Humidity (%) Max: 41.5 02-10-2024 08:16:30	 Min: 5.4 12-10-2024 03:26:30	 Avg: 7.66
Dew Point (ºC) Max: 9.66 30-09-2024 14:06:30	 Min: -18.07 12-10-2024 05:46:30	 Avg: -15.50
""
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC)
"30-09-2024 12:07:40","22.6","16.8","-3.81"
"30-09-2024 12:17:40","22.6","16.8","-3.81"
"30-09-2024 12:27:40","22.6","16.8","-3.81"
"30-09-2024 12:37:40","22.6","16.8","-3.81"
"30-09-2024 12:47:40","22.6","16.8","-3.81"
"30-09-2024 12:57:40","22.6","16.8","-3.81"
"30-09-2024 13:07:40","22.6","16.8","-3.81"
"30-09-2024 13:17:40","22.6","16.8","-3.81"
"30-09-2024 13:27:40","22.7","16.8","-3.73"
"30-09-2024 13:37:40","22.6","16.8","-3.81"
"30-09-2024 13:47:40","22.7","24.7","1.51"
"30-09-2024 14:06:30","23.6","41.2","9.66"
"30-09-2024 14:16:30","23.0","36.3","7.26"
"30-09-2024 14:26:30","22.8","33.9","6.09"
"30-09-2024 14:36:30","22.7","32.5","5.39"
"30-09-2024 14:46:30","22.7","31.7","5.04"
"30-09-2024 14:56:30","22.7","31.2","4.81"
"30-09-2024 15:06:30","22.7","30.8","4.62"
"30-09-2024 15:16:30","22.7","30.6","4.53"
"30-09-2024 15:26:30","22.7","30.4","4.44"
"30-09-2024 15:36:30","22.7","30.2","4.34"
"30-09-2024 15:46:30","22.7","30.1","4.30"
"30-09-2024 15:56:30","22.7","29.9","4.20"
"30-09-2024 16:06:30","22.7","29.8","4.15"
"30-09-2024 16:16:30","22.8","29.8","4.24"
"30-09-2024 16:26:30","22.8","29.7","4.19"
"30-09-2024 16:36:30","22.7","29.6","4.06"
"30-09-2024 16:46:30","22.8","29.6","4.14"
"30-09-2024 16:56:30","22.8","29.5","4.10"
"30-09-2024 17:06:30","22.8","29.5","4.10"
