Start Time: 14-01-2023 00:04:01
End Time: 07-02-2023 18:05:00
Data Number: 3564
Temperature (ºC) Max: 22.6 25-01-2023 09:35:00	 Min: 17.3 07-02-2023 17:05:00	 Avg: 19.48
Relative Humidity (%) Max: 36.4 07-02-2023 17:05:00	 Min: 6.7 14-01-2023 00:04:01	 Avg: 28.98
Dew Point (ºC) Max: 3.25 07-02-2023 16:55:00	 Min: -17.84 14-01-2023 04:04:01	 Avg: 0.80
""
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC)
"14-01-2023 00:04:01","19.4","6.7","-17.77"
"14-01-2023 00:14:01","19.4","6.7","-17.77"
"14-01-2023 00:24:01","19.4","6.7","-17.77"
"14-01-2023 00:34:01","19.4","6.7","-17.77"
"14-01-2023 00:44:01","19.4","6.7","-17.77"
"14-01-2023 00:54:01","19.4","6.7","-17.77"
"14-01-2023 01:04:01","19.4","6.7","-17.77"
"14-01-2023 01:14:01","19.4","6.7","-17.77"
"14-01-2023 01:24:01","19.4","6.7","-17.77"
"14-01-2023 01:34:01","19.4","6.7","-17.77"
"14-01-2023 01:44:01","19.4","6.7","-17.77"
"14-01-2023 01:54:01","19.4","6.7","-17.77"
"14-01-2023 02:04:01","19.4","6.7","-17.77"
"14-01-2023 02:14:01","19.4","6.7","-17.77"
"14-01-2023 02:24:01","19.4","6.7","-17.77"
"14-01-2023 02:34:01","19.4","6.7","-17.77"
"14-01-2023 02:44:01","19.4","6.7","-17.77"
"14-01-2023 02:54:01","19.4","6.7","-17.77"
"14-01-2023 03:04:01","19.4","6.7","-17.77"
"14-01-2023 03:14:01","19.4","6.7","-17.77"
"14-01-2023 03:24:01","19.4","6.7","-17.77"
"14-01-2023 03:34:01","19.4","6.7","-17.77"
"14-01-2023 03:44:01","19.4","6.7","-17.77"
"14-01-2023 03:54:01","19.4","6.7","-17.77"
"14-01-2023 04:04:01","19.3","6.7","-17.84"
"14-01-2023 04:14:01","19.4","6.7","-17.77"
"14-01-2023 04:24:01","19.4","6.7","-17.77"
"14-01-2023 04:34:01","19.4","6.7","-17.77"
"14-01-2023 04:44:01","19.4","6.7","-17.77"
"14-01-2023 04:54:01","19.4","6.7","-17.77"
"14-01-2023 05:04:01","19.4","6.7","-17.77"
"14-01-2023 05:14:01","19.4","6.7","-17.77"
"14-01-2023 05:24:01","19.4","6.7","-17.77"
"14-01-2023 05:34:01","19.4","6.7","-17.77"
"14-01-2023 05:44:01","19.4","6.7","-17.77"
"14-01-2023 05:54:01","19.4","6.7","-17.77"
"14-01-2023 06:04:01","19.4","6.7","-17.77"
"14-01-2023 06:14:01","19.4","6.7","-17.77"
"14-01-2023 06:24:01","19.4","6.7","-17.77"
"14-01-2023 06:34:01","19.4","6.7","-17.77"
"14-01-2023 06:44:01","19.4","6.7","-17.77"
"14-01-2023 06:54:01","19.4","6.7","-17.77"
"14-01-2023 07:04:01","19.4","6.7","-17.77"
"14-01-2023 07:14:01","19.4","6.7","-17.77"
"14-01-2023 07:24:01","19.4","6.7","-17.77"
"14-01-2023 07:34:01","19.4","6.7","-17.77"
"14-01-2023 07:44:01","19.4","6.7","-17.77"
"14-01-2023 07:54:01","19.4","6.7","-17.77"
"14-01-2023 08:04:01","19.4","6.7","-17.77"
"14-01-2023 08:14:01","19.4","6.7","-17.77"
"14-01-2023 08:24:01","19.4","6.7","-17.77"
"14-01-2023 08:34:01","19.3","6.7","-17.84"
"14-01-2023 08:44:01","19.4","6.7","-17.77"
"14-01-2023 08:54:01","19.4","6.7","-17.77"
"14-01-2023 09:04:01","19.4","6.7","-17.77"
"14-01-2023 09:14:01","19.4","6.7","-17.77"
"14-01-2023 09:24:01","19.4","6.7","-17.77"
"14-01-2023 09:34:01","19.4","6.7","-17.77"
"14-01-2023 09:44:01","19.4","6.7","-17.77"
"14-01-2023 09:54:01","19.4","6.7","-17.77"
"14-01-2023 10:04:01","19.4","6.7","-17.77"
"14-01-2023 10:14:01","19.4","6.7","-17.77"
"14-01-2023 10:24:01","19.4","6.7","-17.77"
"14-01-2023 10:34:01","19.4","6.7","-17.77"
"14-01-2023 10:44:01","19.4","6.7","-17.77"
"14-01-2023 10:54:01","19.4","6.7","-17.77"
"14-01-2023 11:04:01","19.4","6.7","-17.77"
"14-01-2023 11:14:01","19.5","6.7","-17.70"
"14-01-2023 11:24:01","19.4","6.7","-17.77"
"14-01-2023 11:34:01","19.4","6.7","-17.77"
"14-01-2023 11:44:01","19.5","6.7","-17.70"
"14-01-2023 11:54:01","19.5","6.7","-17.70"
"14-01-2023 12:04:01","19.5","6.7","-17.70"
"14-01-2023 12:14:01","19.5","6.7","-17.70"
"14-01-2023 12:24:01","19.5","6.7","-17.70"
"14-01-2023 12:34:01","19.5","15.5","-7.36"
"14-01-2023 12:44:01","19.6","18.9","-4.69"
"14-01-2023 12:54:01","19.5","15.3","-7.53"
"14-01-2023 13:04:01","19.3","13.1","-9.67"
"14-01-2023 13:14:01","19.2","12.3","-10.54"
"14-01-2023 13:24:01","19.1","14.2","-8.80"
"14-01-2023 13:34:01","18.9","11.5","-11.62"
"14-01-2023 13:44:01","18.8","12.6","-10.55"
"14-01-2023 13:54:01","18.7","13.5","-9.76"
"14-01-2023 14:04:01","18.7","13.2","-10.05"
"14-01-2023 14:14:01","18.6","10.9","-12.51"
"14-01-2023 14:24:01","18.6","10.1","-13.45"
"14-01-2023 14:34:01","18.5","11.4","-12.04"
"14-01-2023 14:44:01","18.5","11.6","-11.82"
"14-01-2023 14:54:01","18.5","10.2","-13.40"
"14-01-2023 15:04:01","18.5","12.2","-11.19"
