Start Time: 07-02-2023 21:08:29
End Time: 27-03-2023 18:18:29
Data Number: 6896
Temperature (ºC) Max: 22.9 07-02-2023 22:28:29	 Min: 20.6 09-02-2023 05:58:29	 Avg: 21.41
Relative Humidity (%) Max: 47.3 07-02-2023 22:18:29	 Min: 28.1 07-02-2023 21:08:29	 Avg: 39.39
Dew Point (ºC) Max: 10.91 07-02-2023 22:18:29	 Min: 2.16 07-02-2023 21:38:29	 Avg: 7.04
""
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC)
"07-02-2023 21:08:29","21.8","28.1","2.55"
"07-02-2023 21:18:29","21.3","28.4","2.27"
"07-02-2023 21:28:29","21.1","28.7","2.24"
"07-02-2023 21:38:29","21.0","28.7","2.16"
"07-02-2023 21:48:29","20.9","28.9","2.17"
"07-02-2023 21:58:29","21.8","28.7","2.85"
"07-02-2023 22:08:29","21.4","33.1","4.52"
"07-02-2023 22:18:29","22.7","47.3","10.91"
"07-02-2023 22:28:29","22.9","45.5","10.51"
"07-02-2023 22:38:29","22.8","44.3","10.02"
"07-02-2023 22:48:29","22.7","43.5","9.66"
"07-02-2023 22:58:29","22.5","43.0","9.30"
"07-02-2023 23:08:29","22.2","42.5","8.86"
"07-02-2023 23:18:29","22.0","42.1","8.54"
"07-02-2023 23:28:29","21.9","41.9","8.38"
"07-02-2023 23:38:29","21.8","41.7","8.22"
"07-02-2023 23:48:29","21.6","41.4","7.94"
"07-02-2023 23:58:29","21.6","41.3","7.90"
"08-02-2023 00:08:29","21.5","41.1","7.74"
"08-02-2023 00:18:29","21.4","41.0","7.62"
"08-02-2023 00:28:29","21.3","40.9","7.49"
"08-02-2023 00:38:29","21.3","40.8","7.45"
"08-02-2023 00:48:29","21.2","40.7","7.33"
"08-02-2023 00:58:29","21.2","40.6","7.29"
"08-02-2023 01:08:29","21.2","40.6","7.29"
"08-02-2023 01:18:29","21.1","40.4","7.13"
"08-02-2023 01:28:29","21.1","40.4","7.13"
"08-02-2023 01:38:29","21.1","40.4","7.13"
"08-02-2023 01:48:29","21.1","40.3","7.10"
"08-02-2023 01:58:29","21.0","40.2","6.97"
"08-02-2023 02:08:29","21.0","40.2","6.97"
"08-02-2023 02:18:29","21.0","40.2","6.97"
"08-02-2023 02:28:29","21.0","40.1","6.93"
"08-02-2023 02:38:29","21.0","40.1","6.93"
"08-02-2023 02:48:29","20.9","40.1","6.84"
"08-02-2023 02:58:29","21.0","40.0","6.90"
"08-02-2023 03:08:29","20.9","40.0","6.81"
"08-02-2023 03:18:29","20.9","40.0","6.81"
"08-02-2023 03:28:29","20.9","40.0","6.81"
"08-02-2023 03:38:29","20.9","40.0","6.81"
"08-02-2023 03:48:29","20.9","40.0","6.81"
"08-02-2023 03:58:29","20.9","39.9","6.77"
"08-02-2023 04:08:29","20.9","39.9","6.77"
"08-02-2023 04:18:29","20.9","39.9","6.77"
"08-02-2023 04:28:29","20.9","39.9","6.77"
"08-02-2023 04:38:29","20.9","39.9","6.77"
"08-02-2023 04:48:29","20.8","39.9","6.68"
"08-02-2023 04:58:29","20.8","39.8","6.64"
"08-02-2023 05:08:29","20.8","39.8","6.64"
"08-02-2023 05:18:29","20.8","39.8","6.64"
"08-02-2023 05:28:29","20.8","39.8","6.64"
"08-02-2023 05:38:29","20.8","39.8","6.64"
"08-02-2023 05:48:29","20.8","39.8","6.64"
"08-02-2023 05:58:29","20.8","39.8","6.64"
"08-02-2023 06:08:29","20.8","39.8","6.64"
"08-02-2023 06:18:29","20.8","39.7","6.61"
"08-02-2023 06:28:29","20.8","39.7","6.61"
