Start Time: 01-11-2023 13:39:45
End Time: 22-11-2023 13:19:45
Data Number: 3023
Temperature (ºC) Max: 22.2 01-11-2023 15:19:45	 Min: 20.1 03-11-2023 10:29:45	 Avg: 20.35
Relative Humidity (%) Max: 73.4 02-11-2023 14:39:45	 Min: 48.3 01-11-2023 15:29:45	 Avg: 70.88
Dew Point (ºC) Max: 15.58 02-11-2023 14:39:45	 Min: 10.65 01-11-2023 13:49:45	 Avg: 14.89
""
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC)
"01-11-2023 13:39:45","21.5","50.2","10.71"
"01-11-2023 13:49:45","21.5","50.0","10.65"
"01-11-2023 13:59:45","21.6","50.4","10.86"
"01-11-2023 14:09:45","21.6","50.2","10.80"
"01-11-2023 14:19:45","21.7","50.0","10.83"
"01-11-2023 14:29:45","21.8","49.7","10.83"
"01-11-2023 14:39:45","22.0","50.5","11.26"
"01-11-2023 14:49:45","22.0","49.5","10.95"
"01-11-2023 14:59:45","22.1","49.2","10.95"
"01-11-2023 15:09:45","22.1","49.1","10.92"
"01-11-2023 15:19:45","22.2","48.9","10.95"
"01-11-2023 15:29:45","22.1","48.3","10.68"
"01-11-2023 15:39:45","21.3","68.5","15.27"
"01-11-2023 15:49:45","20.8","70.3","15.20"
"01-11-2023 15:59:45","20.5","71.4","15.15"
"01-11-2023 16:09:45","20.4","71.9","15.16"
"01-11-2023 16:19:45","20.3","72.2","15.13"
"01-11-2023 16:29:45","20.2","72.4","15.08"
"01-11-2023 16:39:45","20.2","72.6","15.12"
"01-11-2023 16:49:45","20.2","72.7","15.14"
"01-11-2023 16:59:45","20.2","72.8","15.16"
"01-11-2023 17:09:45","20.2","72.8","15.16"
"01-11-2023 17:19:45","20.2","72.8","15.16"
"01-11-2023 17:29:45","20.2","72.9","15.18"
"01-11-2023 17:39:45","20.2","72.9","15.18"
"01-11-2023 17:49:45","20.2","73.0","15.21"
"01-11-2023 17:59:45","20.3","72.8","15.26"
"01-11-2023 18:09:45","20.2","72.8","15.16"
"01-11-2023 18:19:45","20.2","72.8","15.16"
"01-11-2023 18:29:45","20.2","72.8","15.16"
"01-11-2023 18:39:45","20.2","72.7","15.14"
"01-11-2023 18:49:45","20.2","72.7","15.14"
"01-11-2023 18:59:45","20.2","72.7","15.14"
"01-11-2023 19:09:45","20.3","72.7","15.24"
"01-11-2023 19:19:45","20.2","72.7","15.14"
