Start Time: 12-09-2023 08:05:54
End Time: 06-10-2023 13:15:54
Data Number: 3488
Temperature (ºC) Max: 23.2 12-09-2023 15:05:54	 Min: 21 24-09-2023 07:25:54	 Avg: 21.99
Relative Humidity (%) Max: 88.1 22-09-2023 23:45:54	 Min: 87.3 12-09-2023 15:05:54	 Avg: 87.80
Dew Point (ºC) Max: 21.01 12-09-2023 19:55:54	 Min: 18.95 24-09-2023 07:25:54	 Avg: 19.88
""
Record Time,Temperature (ºC),Relative Humidity (%),Dew Point (ºC)
"12-09-2023 08:05:54","22.5","87.7","20.36"
"12-09-2023 08:15:54","22.5","87.7","20.36"
"12-09-2023 08:25:54","22.5","87.7","20.36"
"12-09-2023 08:35:54","22.5","87.7","20.36"
"12-09-2023 08:45:54","22.5","87.7","20.36"
"12-09-2023 08:55:54","22.5","87.7","20.36"
"12-09-2023 09:05:54","22.5","87.7","20.36"
"12-09-2023 09:15:54","22.5","87.7","20.36"
"12-09-2023 09:25:54","22.5","87.7","20.36"
"12-09-2023 09:35:54","22.5","87.7","20.36"
"12-09-2023 09:45:54","22.5","87.7","20.36"
"12-09-2023 09:55:54","22.5","87.7","20.36"
"12-09-2023 10:05:54","22.6","87.7","20.45"
"12-09-2023 10:15:54","22.6","87.7","20.45"
"12-09-2023 10:25:54","22.6","87.7","20.45"
"12-09-2023 10:35:54","22.6","87.6","20.44"
"12-09-2023 10:45:54","22.7","87.6","20.53"
"12-09-2023 10:55:54","22.7","87.6","20.53"
"12-09-2023 11:05:54","22.7","87.6","20.53"
"12-09-2023 11:15:54","22.7","87.5","20.52"
"12-09-2023 11:25:54","22.7","87.5","20.52"
"12-09-2023 11:35:54","22.8","87.6","20.63"
"12-09-2023 11:45:54","22.8","87.6","20.63"
"12-09-2023 11:55:54","22.8","87.6","20.63"
"12-09-2023 12:05:54","22.8","87.5","20.61"
"12-09-2023 12:15:54","22.8","87.5","20.61"
"12-09-2023 12:25:54","22.8","87.5","20.61"
"12-09-2023 12:35:54","22.8","87.5","20.61"
"12-09-2023 12:45:54","22.8","87.5","20.61"
"12-09-2023 12:55:54","22.8","87.5","20.61"
"12-09-2023 13:05:54","22.9","87.5","20.71"
"12-09-2023 13:15:54","22.9","87.5","20.71"
"12-09-2023 13:25:54","22.9","87.5","20.71"
"12-09-2023 13:35:54","22.9","87.5","20.71"
"12-09-2023 13:45:54","23.0","87.5","20.81"
"12-09-2023 13:55:54","23.0","87.4","20.79"
"12-09-2023 14:05:54","23.0","87.4","20.79"
"12-09-2023 14:15:54","23.1","87.4","20.89"
"12-09-2023 14:25:54","23.1","87.4","20.89"
"12-09-2023 14:35:54","23.1","87.4","20.89"
"12-09-2023 14:45:54","23.1","87.4","20.89"
"12-09-2023 14:55:54","23.1","87.4","20.89"
"12-09-2023 15:05:54","23.2","87.3","20.97"
"12-09-2023 15:15:54","23.2","87.4","20.99"
"12-09-2023 15:25:54","23.2","87.4","20.99"
"12-09-2023 15:35:54","23.2","87.4","20.99"
"12-09-2023 15:45:54","23.2","87.4","20.99"
"12-09-2023 15:55:54","23.2","87.4","20.99"
"12-09-2023 16:05:54","23.2","87.4","20.99"
"12-09-2023 16:15:54","23.2","87.4","20.99"
"12-09-2023 16:25:54","23.2","87.4","20.99"
"12-09-2023 16:35:54","23.2","87.4","20.99"
